Banco;Riesgo;Tipo de riesgo;Horizonte;Valor
Caixabank;Riesgos fisicos;Riesgo de crédito;CP;1,25
Caixabank;Riesgos fisicos;Riesgo de crédito;MP;1,5
Caixabank;Riesgos fisicos;Riesgo de crédito;LP;2,5
Caixabank;Riesgos fisicos;Riesgo reputacional;CP;1
Caixabank;Riesgos fisicos;Riesgo reputacional;MP;1
Caixabank;Riesgos fisicos;Riesgo reputacional;LP;2
Caixabank;Riesgos fisicos;Riesgo operacional;CP;1
Caixabank;Riesgos fisicos;Riesgo operacional;MP;1
Caixabank;Riesgos fisicos;Riesgo operacional;LP;1
Caixabank;Riesgos fisicos;Riesgo de liquidez;CP;1
Caixabank;Riesgos fisicos;Riesgo de liquidez;MP;1
Caixabank;Riesgos fisicos;Riesgo de liquidez;LP;1
Caixabank;Riesgos fisicos;Riesgo de mercado;CP;1
Caixabank;Riesgos fisicos;Riesgo de mercado;MP;1
Caixabank;Riesgos fisicos;Riesgo de mercado;LP;1
Sabadell;Riesgos fisicos;Riesgo de crédito;CP;2
Sabadell;Riesgos fisicos;Riesgo de crédito;MP;2
Sabadell;Riesgos fisicos;Riesgo de crédito;LP;3
Sabadell;Riesgos fisicos;Riesgo reputacional;CP;ND
Sabadell;Riesgos fisicos;Riesgo reputacional;MP;ND
Sabadell;Riesgos fisicos;Riesgo reputacional;LP;ND
Sabadell;Riesgos fisicos;Riesgo operacional;CP;1
Sabadell;Riesgos fisicos;Riesgo operacional;MP;1
Sabadell;Riesgos fisicos;Riesgo operacional;LP;1
Sabadell;Riesgos fisicos;Riesgo de liquidez;CP;1
Sabadell;Riesgos fisicos;Riesgo de liquidez;MP;1
Sabadell;Riesgos fisicos;Riesgo de liquidez;LP;1
Sabadell;Riesgos fisicos;Riesgo de mercado;CP;1
Sabadell;Riesgos fisicos;Riesgo de mercado;MP;1
Sabadell;Riesgos fisicos;Riesgo de mercado;LP;2
Bankinter;Riesgos fisicos;Riesgo de crédito;CP;2,4
Bankinter;Riesgos fisicos;Riesgo de crédito;MP;2,6
Bankinter;Riesgos fisicos;Riesgo de crédito;LP;3
Bankinter;Riesgos fisicos;Riesgo reputacional;CP;1,8
Bankinter;Riesgos fisicos;Riesgo reputacional;MP;1,8
Bankinter;Riesgos fisicos;Riesgo reputacional;LP;1,8
Bankinter;Riesgos fisicos;Riesgo operacional;CP;1,9
Bankinter;Riesgos fisicos;Riesgo operacional;MP;2,4
Bankinter;Riesgos fisicos;Riesgo operacional;LP;2,9
Bankinter;Riesgos fisicos;Riesgo de liquidez;CP;1,4
Bankinter;Riesgos fisicos;Riesgo de liquidez;MP;1,9
Bankinter;Riesgos fisicos;Riesgo de liquidez;LP;1,4
Bankinter;Riesgos fisicos;Riesgo de mercado;CP;1,6
Bankinter;Riesgos fisicos;Riesgo de mercado;MP;1,6
Bankinter;Riesgos fisicos;Riesgo de mercado;LP;1,7
