Fecha;Santander;BBVA;CaixaBank;Sabadell;Unicaja;Bankinter
2022-03-22 00:00:00;2,762439251;4,200205803;2,432610035;0,617229462;0,762948215;4,453624725
2022-03-23 00:00:00;2,718584299;4,07024622;2,341549873;0,597058654;0,75081867;4,254353046
2022-03-24 00:00:00;2,660834312;4,008397579;2,310941219;0,596090376;0,745966911;4,197649956
2022-03-25 00:00:00;2,654755354;4,004483223;2,317063093;0,591249406;0,743945301;4,183068752
2022-03-28 00:00:00;2,67472887;4,035799026;2,314767361;0,604320109;0,739093423;4,181904316
2022-03-29 00:00:00;2,821057558;4,306679249;2,420366764;0,646759689;0,781951189;4,465395451
2022-03-30 00:00:00;2,729005098;4,219778061;2,405827522;0,637707055;0,7706303;4,432621479
2022-03-31 00:00:00;2,692097425;4,078857422;2,354558468;0,624966383;0,762543976;4,362157822
2022-04-01 00:00:00;2,762439251;4,141488552;2,428783894;0,629827917;0,747584164;4,412957668
2022-04-04 00:00:00;2,770255089;4,166540623;2,401236296;0,621278167;0,737071931;4,393293381
2022-04-05 00:00:00;2,726834297;4,110173702;2,411183834;0,613399208;0,73949784;4,401486874
2022-04-06 00:00:00;2,638255119;3,976306677;2,356853962;0,583894253;0,672157288;4,206483841
2022-04-07 00:00:00;2,639558315;3,967300177;2,408888578;0,596802652;0,701255023;4,308082581
2022-04-08 00:00:00;2,707728863;4,006190777;2,475461721;0,616584241;0,701670706;4,442453861
2022-04-11 00:00:00;2,742465973;4,06268549;2,434140444;0,618260741;0,693772793;4,353965282
2022-04-12 00:00:00;2,720754862;4,069235325;2,385166883;0,604011178;0,692525685;4,231063843
2022-04-13 00:00:00;2,712505579;4,055725574;2,402001381;0,614237368;0,703333497;4,242535114
2022-04-14 00:00:00;2,737689495;4,121636391;2,439965487;0,612728596;0,719545007;4,324468613
2022-04-19 00:00:00;2,745939255;4,160935879;2,435952425;0,620775342;0,733678281;4,329385281
2022-04-20 00:00:00;2,789360285;4,168305397;2,515411615;0,643742204;0,773999393;4,422789097
2022-04-21 00:00:00;2,804991722;4,218249321;2,513003826;0,671905875;0,78397572;4,589934826
2022-04-22 00:00:00;2,749413013;4,098710537;2,48009634;0,654303551;0,781481624;4,563716412
2022-04-25 00:00:00;2,652150631;3,938643456;2,42632103;0,63636595;0,775662065;4,591573238
2022-04-26 00:00:00;2,471953392;3,833841562;2,355690241;0,593449771;0,734509587;4,449007988
2022-04-27 00:00:00;2,445466518;3,844076395;2,378966331;0,597640872;0,698345304;4,532580853
2022-04-28 00:00:00;2,43440938;3,887470484;2,378966331;0,60468179;0,706658959;4,527664661
2022-04-29 00:00:00;2,49146533;4,142105103;2,478491068;0,623625219;0,749058425;4,614514828
2022-05-02 00:00:00;2,423793793;3,966889858;2,439965487;0,603173077;0,72453326;4,547329426
2022-05-03 00:00:00;2,496773243;4,007828712;2,536279917;0,621948779;0,74074477;4,604681969
2022-05-04 00:00:00;2,452101231;3,905483723;2,452807188;0,601328969;0,716219664;4,411317825
2022-05-05 00:00:00;2,379122019;3,758106709;2,413478851;0,5790326;0,706243217;4,349049091
2022-05-06 00:00:00;2,344622612;3,757288218;2,367729664;0,570315361;0,708321631;4,234341621
2022-05-09 00:00:00;2,2999506;3,749100208;2,355690241;0,570650637;0,695435524;4,22942543
2022-05-10 00:00:00;2,329584599;3,799044847;2,370137691;0,588252842;0,707074583;4,303166389
2022-05-11 00:00:00;2,382218122;3,887061596;2,371742725;0,603508353;0,711231411;4,417874336
2022-05-12 00:00:00;2,347276688;3,855129719;2,307533026;0,589761674;0,706658959;4,31627512
2022-05-13 00:00:00;2,413179159;3,970983982;2,318769693;0,59529382;0,716635287;4,365436077
2022-05-16 00:00:00;2,387967825;3,969347239;2,327598572;0,591605783;0,719545007;4,353965282
2022-05-17 00:00:00;2,457408428;4,012331009;2,447991371;0,616751969;0,753215253;4,509639263
2022-05-18 00:00:00;2,423793793;3,974259138;2,472070217;0,610046268;0,747811377;4,53913641
2022-05-19 00:00:00;2,424236298;3,902617693;2,508188248;0,616584241;0,739082098;4,589934826
2022-05-20 00:00:00;2,427332401;3,887061596;2,504174948;0,613063872;0,748642802;4,558799744
2022-05-23 00:00:00;2,521099567;3,988177776;2,598081589;0,649777234;0,778571904;4,70955801
2022-05-24 00:00:00;2,559579611;3,966481447;2,636607409;0,663020849;0,771089613;4,776743412
2022-05-25 00:00:00;2,612213135;4,007828712;2,704829693;0,686993539;0,778987527;4,889812469
2022-05-26 00:00:00;2,671480894;4,099529743;2,7369349;0,713648617;0,783144355;4,909476757
2022-05-27 00:00:00;2,689172983;4,127367496;2,700014591;0,692693353;0,772752285;4,91111517
2022-05-30 00:00:00;2,722787619;4,214155674;2,731316805;0,705434084;0,781065881;4,889812469
2022-05-31 00:00:00;2,666615486;4,158480167;2,703224897;0,698225558;0,771920919;4,848845959
2022-06-01 00:00:00;2,640520096;4,100347996;2,724093199;0,692525685;0,776077747;4,8390131
2022-06-02 00:00:00;2,635654926;4,084383011;2,726500988;0,695878565;0,76610148;4,847207069
2022-06-03 00:00:00;2,621501207;4,059000969;2,712856531;0,689172864;0,766932786;4,794769287
2022-06-06 00:00:00;2,687403679;4,178949356;2,779473543;0,712810218;0,78979528;4,863592625
2022-06-07 00:00:00;2,652462244;4,125730038;2,770644665;0,713313282;0,778156221;4,888174057
2022-06-08 00:00:00;2,640520096;4,074967384;2,780276299;0,701243043;0,783144355;4,916030407
2022-06-09 00:00:00;2,570636988;3,883786917;2,782684326;0,708954573;0,778571904;4,961914539
2022-06-10 00:00:00;2,388410568;3,529263258;2,584436893;0,662685633;0,726195931;4,627624035
2022-06-13 00:00:00;2,309238911;3,401127338;2,54430604;0,636868894;0,700008035;4,430983543
2022-06-14 00:00:00;2,320296288;3,433877707;2,582029343;0,635192454;0,720376432;4,475227356
2022-06-15 00:00:00;2,380006313;3,489144087;2,622962713;0,650447786;0,733262539;4,512917042
2022-06-16 00:00:00;2,331353664;3,415865421;2,639817715;0,634521961;0,728274345;4,498167992
2022-06-17 00:00:00;2,38487196;3,498150587;2,735329628;0,67056483;0,752383828;4,725944519
2022-06-20 00:00:00;2,471562386;3,54482007;2,834051847;0,702416599;0,814736187;4,898006439
2022-06-21 00:00:00;2,474658489;3,527216673;2,877393484;0,719683647;0,819724321;5,007796764
2022-06-22 00:00:00;2,481292963;3,580026388;2,834854364;0,711469233;0,812657773;4,971746445
2022-06-23 00:00:00;2,402563572;3,473997116;2,699211597;0,677270353;0,772752285;4,725944519
2022-06-24 00:00:00;2,441485643;3,555872917;2,727303505;0,676096976;0,780234575;4,843929768
2022-06-27 00:00:00;2,450774193;3,61400485;2,738540173;0,658326924;0,781897366;4,830753803
2022-06-28 00:00:00;2,456966162;3,609910965;2,765829325;0,657321095;0,798524559;4,900452137
2022-06-29 00:00:00;2,420255423;3,534994841;2,777065992;0,65950048;0,793952107;4,981767178
2022-06-30 00:00:00;2,377794981;3,545639038;2,662291288;0,637539387;0,776077747;4,938620567
2022-07-01 00:00:00;2,374256372;3,531719685;2,659080744;0,637371838;0,752799571;4,912068844
2022-07-04 00:00:00;2,373372078;3,580845118;2,613331556;0,616919518;0,746564388;4,78096962
